Name;Entity Start;Entity End;ArtNet IP;ArtNet Universe;;;;;TOTAL PIXELS
89;13700;13869;192.168.1.47;88;;;;;
90;13870;13958;192.168.1.47;89;;;;;
91;14000;14169;192.168.1.47;90;;;;;
92;14170;14258;192.168.1.47;91;;;;;
93;14300;14469;192.168.1.47;92;;;;;
94;14470;14558;192.168.1.47;93;;;;;
95;14600;14769;192.168.1.47;94;;;;;
96;14770;14858;192.168.1.47;95;;;;;
97;15100;15269;192.168.1.48;96;Start;15000;;;
98;15270;15358;192.168.1.48;97;;;;;
99;15400;15569;192.168.1.48;98;;;;;
100;15570;15658;192.168.1.48;99;;;;;
101;15700;15869;192.168.1.48;100;;;;;
102;15870;15958;192.168.1.48;101;;;;;
103;16000;16169;192.168.1.48;102;;;;;
104;16170;16258;192.168.1.48;103;;;;;
105;16300;16469;192.168.1.48;104;;;;;
106;16470;16558;192.168.1.48;105;;;;;
107;16600;16769;192.168.1.48;106;;;;;
108;16770;16858;192.168.1.48;107;;;;;
109;16900;17069;192.168.1.48;108;;;;;
110;17070;17158;192.168.1.48;109;;;;;
111;17200;17369;192.168.1.48;110;;;;;
112;17370;17458;192.168.1.48;111;;;;;
113;17500;17669;192.168.1.48;112;;;;;
114;17670;17758;192.168.1.48;113;;;;;
115;17800;17969;192.168.1.48;114;;;;;
116;17970;18058;192.168.1.48;115;;;;;
117;18100;18269;192.168.1.48;116;;;;;
118;18270;18358;192.168.1.48;117;;;;;
119;18400;18569;192.168.1.48;118;;;;;
120;18570;18658;192.168.1.48;119;;;;;
121;18700;18869;192.168.1.48;120;;;;;
122;18870;18958;192.168.1.48;121;;;;;
123;19000;19169;192.168.1.48;122;;;;;
124;19170;19258;192.168.1.48;123;;;;;
125;19300;19469;192.168.1.48;124;;;;;
126;19470;19558;192.168.1.48;125;;;;;
127;19600;19769;192.168.1.48;126;;;;;
128;19770;19858;192.168.1.48;127;;;;;
Projecteur;1;1;192.168.1.45;200;;;;;
